id,escolas_postos,bairro,endereco,lat,lon,subprefeitura,quantidade
90,EM THOMAS JEFFERSON,ACARI,"AVENIDA PASTOR MARTIN LUTHER KING JR, SEM NUMERO",-22.81631,-43.34015,ZONA NORTE,67.0
69,ESCOLA MUNICIPAL CARDEAL ARCOVERDE,MADUREIRA,RUA AGOSTINHO BARBALHO 401,-22.87608,-43.34337,ZONA NORTE,468.0
260,EM PROFESSOR JOSUE DE CASTRO,BONSUCESSO,AVENIDA BRASIL 4040 RUA DA VITORIA,-22.87374,-43.24071,ZONA NORTE,397.0
140,EM PEDRO LESSA,BONSUCESSO,"RUA ADAIL, 49 ",-22.86047,-43.25428,ZONA NORTE,153.0
118,CENTRO INTEGRADO DE EDUCACAO PUBLICA ELIS REGINA,BONSUCESSO,RUA PRINCIPAL SEM NUMERO ,-22.85783,-43.24045,ZONA NORTE,210.0
263,EM PADRE MANUEL DE NOBREGA,VIGARIO GERAL,"PRACA ELBA, 1215 ",-22.85714,-43.26416,ZONA NORTE,292.0
161,E.M JOAO DE DEUS,PENHA CIRCULAR,PRACA ALMEIDA GARRET SEM NUMERO,-22.82995,-43.28211,ZONA NORTE,509.0
121,EM DILERMANDO CRUZ,RAMOS,"AVENIDA TEIXEIRA DE CASTRO, 407",-22.85387,-43.25245,ZONA NORTE,167.0
663,EM CIENTISTA MARIO KROEFF,PENHA,"RUA DO COUTO, 91",-22.83896,-43.27517,ZONA NORTE,426.0
498,EM CHILE,OLARIA,PRACA BELMONTE 15 ,-22.84858,-43.26859,ZONA NORTE,61.0
566,EM BRANT HORTA,PENHA CIRCULAR,"RUA BENTO CARDOSO, 130",-22.83567,-43.28816,ZONA NORTE,564.0
146,EM BERNARDO VASCONCELOS,PENHA,"PRACA SANTA ROSALIA, 100",-22.84563,-43.28401,ZONA NORTE,151.0
379,CIEP NELSON MANDELA,CAMPO GRANDE,"PRACA DANIEL LAMES, SEM NUMERO",-22.89558,-43.57051,ZONA OESTE,109.0
230,EM BERLIM,OLARIA,PRACA RAMOS FIGUEIRA 20,-22.84779,-43.26144,ZONA NORTE,24.0
537,EM ARY QUINTELLA,PENHA CIRCULAR,RUA ENG. MOREIRA LIMA 54,-22.83941,-43.30007,ZONA NORTE,234.0
41,EM ANDRADE NEVES,JARDIM AMERICA,RUA VIANA DO CASTELO. SEM NUMERO,-22.80945,-43.32629,ZONA NORTE,468.0
422,ESCOLA MUNICIPAL ALBINO SOUZA CRUZ,MANGUINHOS,AVENIDA DOS DEMOCRATICOS 268,-22.88099,-43.25325,ZONA NORTE,123.0
259,EM PERNAMBUCO,MARIA DA GRACA,RUA CONDE DE AZAMBUJA 579,-22.88418,-43.26262,ZONA NORTE,158.0
440,EM JOAQUIM RIBEIRO,INHAUMA,PRACA SOLDADO COSME DOS SANTOS 28,-22.87757,-43.28563,ZONA NORTE,530.0
388,EM CARDEAL CAMARA,PARADA DE LUCAS,"RUA ANAMA, 98 ",-22.81527,-43.30357,ZONA NORTE,504.0
135,EM DOMINGOS BEBIANO,INHAUMA,ESTRADA ADHEMAR BEBIANO 1870,-22.87389,-43.27771,ZONA NORTE,456.0
351,CENTRO INTEGRADO DE EDUCACAO PUBLICA VINICIUS DE MORAES,JACARE,AVENIDA DOM HELDER CAMARA 1715,-22.88532,-43.2541,ZONA NORTE,489.0
502,CIEP PATRICE LUMUMBA,DEL CASTILHO,"PRACA DA CONFEDERACAO SUICA, SEM NUMERO",-22.87835,-43.27489,ZONA NORTE,493.0
117,CIEP CHANCELER WILLY BRANDT,JACARE,RUA ALVARO SEIXAS SEM NUMERO,-22.89418,-43.26385,ZONA NORTE,457.0
20,EM TAGORE,PIEDADE,PRACA FREDERICO DUVAL SEM NUMERO,-22.88766,-43.30247,ZONA NORTE,255.0
157,E.M. SARMIENTO,ENGENHO NOVO,RUA VINTE QUATRO DE MAIO 931,-22.90303,-43.26788,ZONA NORTE,350.0
624,EM RIO GRANDE DO SUL,ENGENHO DE DENTRO,"RUA ADOLFO BERGAMINI, 201",-22.90034,-43.29594,ZONA NORTE,109.0
373,EM PROFESSOR AUGUSTO PAULINO,MEIER,RUA CONEGO TOBIAS 116,-22.90416,-43.28033,ZONA NORTE,44.0
25,ESCOLA MUNICIPAL GEORGE SUMMER,RIACHUELO,RUA ANA NERI ,-22.9007,-43.25541,ZONA NORTE,183.0
429,EM FELIX PACHECO,PIEDADE,"RUA ASSIS CARNEIRO, 649",-22.89509,-43.31383,ZONA NORTE,
378,EM BRIGADEIRO FARIA LIMA,AGUA SANTA,RUA VIOLETA SEM NUMERO ,-22.90627,-43.30792,ZONA NORTE,365.0
217,EM ALAGOAS,PILARES,AVENIDA DOM HELDER CAMARA 6742,-22.88134,-43.29409,ZONA NORTE,440.0
382,EM SANTOS ANJOS,LEBLON,"RUA HUMBERTO DE CAMPOS, SEM NUMERO",-22.98156,-43.21703,ZONA SUL,262.0
660,E.M NOSSA SENHORA DA POMPEIA,TODOS OS SANTOS,"RUA CIRNE MAIA, 109",-22.89203,-43.27992,ZONA NORTE,342.0
653,EM LUCIA MIGUEL PEREIRA,SAO CONRADO,RUA MARTAGAO GESTEIRA SEM NUMERO,-22.99742,-43.27218,ZONA SUL,159.0
587,EM ALMIRANTE TAMANDARE,VIDIGAL,AVENIDA PRESIDENTE JOAO GOULART 296,-22.9937,-43.23558,ZONA SUL,336.0
60,ESCOLA MUNICIPAL BARAO HOMEM DE MELO,MARACANA/ TIJUCA,"RUA ALMIRANTE JOAO CANDIDO BRASIL, 352",-22.91683,-43.23692,,
280,ESCOLA MUNICIPAL GENERAL HUMBERTO DE SOUZA MELLO,MARACANA/ VILA ISABEL,"RUA OITO DE DEZEMBRO, 275",-22.90982,-43.23939,,491.0
361,EM PRUDENTE DE MORAES,TIJUCA,RUA ENES DE SOUSA 36,-22.92906,-43.23287,GRANDE TIJUCA,63.0
163,EM LAUDIMIA TROTTA,TIJUCA,"RUA ANTONIO BASILIO, 370",-22.92684,-43.23789,GRANDE TIJUCA,576.0
180,ESCOLA MUNICIPAL EQUADOR,VILA ISABEL,"BOULEVARD 28 DE SETEMBRO, 353",-22.91615,-43.24705,GRANDE TIJUCA,185.0
126,EM DUQUE DE CAXIAS,GRAJAU,"RUA MARECHAL JOFRE, 74",-22.91854,-43.26509,GRANDE TIJUCA,399.0
638,E.M AZEVEDO SODRE,PRACA DA BANDEIRA,RUA BARAO DE UBA 331,-22.91545,-43.21109,GRANDE TIJUCA,293.0
226,EM AFRANIO PEIXOTO,ANDARAI,"RUA FERREIRA PONTES, 328",-22.92685,-43.25491,GRANDE TIJUCA,164.0
11,CIEP SAMUEL WEINER,TIJUCA,"AVENIDA HEITOR BELTRAO, SEM NUMERO",-22.92127,-43.228,GRANDE TIJUCA,445.0
35,EM SENADOR CORREA,LARANJEIRAS,RUA SENADOR CORREA ,-22.93399,-43.18101,ZONA SUL,525.0
523,EM PRESIDENTE DA COSTA E SILVA,BOTAFOGO,"RUA ASSUNCAO, 257 ",-22.94556,-43.18659,ZONA SUL,111.0
268,ESCOLA MUNICIPAL MINAS GERAIS,URCA,AVENIDA PASTEUR 433 ,-22.95382,-43.16889,ZONA SUL,308.0
309,EM MEXICO,BOTAFOGO,RUA DA MATRIZ 67,-22.95271,-43.19176,ZONA SUL,319.0
540,EM HENRIQUE DODSWORTH,IPANEMA,AVENIDA EPITACIO PESSOA 474,-22.98195,-43.21358,ZONA SUL,516.0
413,EM COCIO BARCELOS,COPACABANA,"RUA BARAO DE IPANEMA, 34",-22.97483,-43.18906,ZONA SUL,
558,EM CICERO PENA,COPACABANA,"AVENIDA ATLANTICA, 1976 ",-22.96865,-43.18114,ZONA SUL,573.0
450,EM ALBERTO BARTH,FLAMENGO,AVENIDA OSWALDO CRUZ 124,-22.94071,-43.17647,ZONA SUL,420.0
331,CIEP TANCREDO NEVES,CATETE,RUA DO CATETE 77,-22.92279,-43.17668,ZONA SUL,223.0
387,CIEP PRESIDENTE AGOSTINHO NETO,HUMAITA,"RUA VISCONDE DE SILVA, SEM NUMERO",-22.95917,-43.19972,ZONA SUL,456.0
89,EM MARIO CLAUDIO,RIO COMPRIDO,"RUA HADDOCK LOBO, 148",-22.91723,-43.21104,CENTRO,473.0
600,EM URUGUAI,BENFICA,RUA ANA NERI 192,-22.89849,-43.23776,CENTRO,591.0
490,E.M TIA CIATA,CENTRO,AVENIDA PRESIDENTE VARGAS SEM NUMERO,-22.90712,-43.19507,CENTRO,578.0
55,EM SANTA CATARINA,SANTA TERESA,RUA EDUARDO SANTOS 38,-22.91553,-43.19159,CENTRO,92.0
17,E.M PRESIDENTE JOSE LINHARES,IPANEMA,"RUA BARAO DA TORRE, 90",-22.98333,-43.19904,ZONA SUL,48.0
132,EM PEREIRA PASSOS,RIO COMPRIDO,PRACA CONDESSA PAULO DE FRONTIN 45,-22.92441,-43.20858,CENTRO,67.0
476,ESCOLA MUNICIPAL FLORIANO PEIXOTO,SAO CRISTOVAO,PRACA ARGENTINA 20 ,-22.89763,-43.22746,CENTRO,190.0
483,EM CELESTINO SILVA,CENTRO,"RUA DO LAVRADIO, 56",-22.90929,-43.18358,CENTRO,220.0
634,EM ALICE DO AMARAL PEIXOTO,BENFICA,RUA EBANO 187 ,-22.88957,-43.2362,CENTRO,121.0
